课时,单词,解释,词性,备注
1,중국,中国,名,
1,일본,日本,名,
1,미국,美国,名,
1,한국,韩国,名,
1,프랑스,法国,名,
1,독일,德国,名,
1,호주,澳大利亚,名,
1,영국,英国,名,
1,선생님,老师,名,
1,학생,学生,名,
1,의사,医生,名,
1,회사원,公司职员,名,
1,요리사,厨师,名,
1,기자,记者,名,
1,가수,歌手,名,
1,군인,军人,名,
1,저,我,代,
1,씨,先生/女士,依存,
1,네,是,感,
1,주부,家庭主妇,名,
1,어느,哪（个）,冠,
1,나라,国家,名,
1,캐나다,加拿大,名,
1,인도,印度,名,
1,아니요.,不是。,句,
1,여러분,大家,代,
1,직업,职业,名,
1,무엇,什么,代,
1,러시아,俄罗斯,名,
1,파키스탄,巴基斯坦,名,
1,명함,名片,名,
1,이름,名字,名,
1,전화번호,电话号码,名,
1,영어,英语,名,
1,국적,国籍,名,
2,책상,书桌,名,
2,의자,椅子,名,
2,책,书,名,
2,공책,练习本,名,
2,볼펜,圆珠笔,名,
2,연필,铅笔,名,
2,가방,书包,名,
2,지우개,橡皮,名,
2,시계,手表,名,
2,모자,帽子,名,
2,우산,雨伞,名,
2,신문,报纸,名,
2,카메라,照相机,名,
2,사전,字典,名,
2,안경,眼镜,名,
2,휴대폰,手机,名,
2,남자 친구,男朋友,名,
2,동전,硬币,名,
2,차,茶,名,
2,한국어,韩国语,名,
2,친구,朋友,名,
2,여자 친구,女朋友,名,
2,뭐,什么,代,
2,창문,窗户,名,
2,지도,地图,名,
2,전자사전,电子词典,名,
2,한국어로,用韩国语,词组,
2,자,尺子,名,
2,필통,笔袋,名,
2,잡지,杂志,名,
2,지갑,钱包,名,
2,커피,咖啡,名,
2,좀,稍微，一点儿,副,
2,콜라,可乐,名,
2,주스,果汁,名,
2,교통카드,交通卡,名,
2,휴지,纸巾,名,
2,물,水,名,
2,어서 오세요,欢迎光临。,句,
2,사과,苹果,名,
2,오렌지,橙子,名,
2,영화,电影,名,
2,컴퓨터,电脑,名,
2,우유,牛奶,名,
2,바나나,香蕉,名,
2,딸기,草莓,名,
2,텔레비전,电视,名,
2,서울대학교,首尔大学,名,
2,제,我的,代,
2,방,房间,名,
2,침대,床,名,
2,냉장고,冰箱,名,
2,룸메이트,室友,名,
2,에어컨,空调,名,
2,우리,我们,代,
3,자다,睡觉,动,
3,공부하다,学习,动,
3,일하다,工作,动,
3,운동하다,运动,动,
3,하다,做,动,
3,숙제,作业,名,
3,사다,买,动,
3,옷,衣服,名,
3,보다,看,动,
3,영화,电影,名,
3,만나다,见,动,
3,친구,同学,名,
3,배우다,学,动,
3,태권도,跆拳道,名,
3,먹다,吃,动,
3,밥,饭,名,
3,마시다,喝,动,
3,커피,咖啡,名,
3,읽다,看,动,
3,책,书,名,
3,도서관,图书馆,名,
3,집,家,名,
3,백화점,百货商场,名,
3,시장,市场,名,
3,공원,公园,名,
3,커피숍,咖啡厅,名,
3,극장,剧场，电影院,名,
3,학교,学校,名,
3,식당,餐厅,名,
3,회사,公司,名,
3,지금,现在,副,
3,아르바이트하다,打工,动,
3,쉬다,休息,动,
3,피자,比萨,名,
3,일본어,日语,名,
3,요리,菜，料理,名,
3,오늘,今天,副,
3,그리고,还有,副,
3,어디,哪里,代,
3,고기,肉,名,
3,프랑스어,法语,名,
3,드라마,电视剧,名,
3,그럼,那么,副,
3,스포츠 센터,体育中心,名,
3,가르치다,教，教授,动,
3,언어교육원,语言教育院,名,
3,불고기,烤肉,名,
4,공항,机场,名,
4,우체국,邮局,名,
4,대사관,大使馆,名,
4,은행,银行,名,
4,가게,商店,名,
4,약국,药店,名,
4,병원,医院,名,
4,미용실,理发店,名,
4,앞,前面,名,
4,뒤,后面,名,
4,옆,旁边,名,
4,안,里面,名,
4,아래,下面,名,
4,밑,底部,名,
4,위,上面,名,
4,인사동,仁寺洞,名,
4,N서울타워,N首尔塔,名,
4,명동,明洞,名,
4,남산,南山,名,
4,대학로,大学路,名,
4,청계천,清溪川,名,
4,교실,教室,名,
4,찻집,茶馆儿,名,
4,서울,首尔,名,
4,시내,市内,名,
4,구경하다,观看，欣赏,动,
